setName,cardNumber,cardName,rarity,pullRate,costPerPull,specificCardPullRate,isChase,isPromo,isPokemon,pokemonPopularity,priceOnRelease,ebaySoldVolumeFrom2026,ebay_listingCount,ebay_listingCount7d,ebay_listingCount30d,ebay_listingCount90d,ebay_medianPrice,ebay_meanPrice,ebay_minPrice,ebay_maxPrice,ebay_priceStdDev,ebay_priceP10,ebay_priceP25,ebay_priceP50,ebay_priceP75,ebay_priceP90,ebay_medianPrice7d,ebay_medianPrice30d,ebay_medianPrice90d,ebay_listingVelocity7d,ebay_listingVelocity30d,ebay_listingVelocity90d,ebay_recentListingRatio7d,ebay_recentListingRatio30d,ebay_recentListingRatio90d,ebay_medianListingAgeDays,ebay_meanListingAgeDays,ebay_marketIndex,ebay_marketStatus,ebay_mic_liquidityScore,ebay_mic_momentumScore,ebay_mic_stabilityScore,ebay_mic_freshnessScore
Sword & Shield,139,Zamazenta V,Holo Rare V,0.1,1837.7,0.0058823529411764705,False,False,True,0.56,0.84,0,417,19,71,175,2.49,2.557,0.71,5.49,0.9558,1.436,1.99,2.49,3.0,3.99,2.49,2.49,2.49,2.7143,2.3667,1.9444,0.0456,0.1703,0.4197,125.4783,309.2544,45.4,Stable,48.24,50.0,62.62,17.03
Sword & Shield,141,Snorlax V,Holo Rare V,0.1,1837.7,0.0058823529411764705,False,False,True,0.701,3.71,2,229,23,100,163,12.0,12.4825,1.09,25.98,4.2364,7.384,10.0,12.0,14.99,17.992,11.99,12.0,12.23,3.2857,3.3333,1.8111,0.1004,0.4367,0.7118,43.5128,145.7298,52.21,Stable,52.83,48.04,66.06,43.67
Sword & Shield,155,Cramorant V,Holo Rare V,0.1,1837.7,0.0058823529411764705,False,False,True,0.44299999999999995,0.66,9,602,28,107,238,1.99,2.1508,0.93,4.17,0.7668,1.15,1.53,1.99,2.6975,3.0,1.99,1.99,1.99,4.0,3.5667,2.6444,0.0465,0.1777,0.3953,124.663,347.6607,49.42,Stable,60.0,50.0,64.35,17.77
Sword & Shield,050,Lapras VMAX,Holo Rare VMAX,0.05555555555555555,778.32,0.013888888888888888,False,False,True,0.747,3.43,0,306,16,78,151,6.55,6.8337,1.0,14.0,2.3541,4.49,5.0,6.55,7.99,9.995,6.62,6.495,6.5,2.2857,2.6,1.6778,0.0523,0.2549,0.4935,93.6502,257.5003,48.04,Stable,47.58,51.85,65.55,25.49
Sword & Shield,080,Morpeko VMAX,Holo Rare VMAX,0.05555555555555555,778.32,0.013888888888888888,False,False,True,0.49200000000000005,2.2,0,234,21,63,116,4.99,5.0818,1.2,10.0,1.8524,3.0,3.9125,4.99,5.99,7.425,5.99,5.99,4.99,3.0,2.1,1.2889,0.0897,0.2692,0.4957,92.3165,366.2515,50.61,Stable,38.34,70.04,63.55,26.92
Sword & Shield,116,Stonjourner VMAX,Holo Rare VMAX,0.05555555555555555,778.32,0.013888888888888888,False,False,True,0.391,1.68,1,381,12,84,172,2.97,2.968,0.99,5.95,1.0898,1.95,1.99,2.97,3.55,4.99,2.0,2.795,2.92,1.7143,2.8,1.9111,0.0315,0.2205,0.4514,106.8011,330.1203,37.96,Cooling,51.16,18.49,63.28,22.05
Sword & Shield,142,Snorlax VMAX,Holo Rare VMAX,0.05555555555555555,778.32,0.013888888888888888,False,False,True,0.701,39.61,1,271,51,136,203,60.0,62.3367,9.0,140.0,23.1841,32.0,48.995,60.0,72.335,99.99,54.99,57.475,60.0,7.2857,4.5333,2.2556,0.1882,0.5018,0.7491,29.8828,126.5467,53.59,Stable,61.66,41.65,62.81,50.18
Sword & Shield,187,Dhelmise V,Ultra Rare,0.027777777777777776,6226.56,0.001736111111111111,False,False,True,0.44799999999999995,2.56,0,169,9,36,77,4.32,4.7606,1.99,9.89,1.6646,2.99,3.5,4.32,5.99,7.19,3.49,4.57,4.54,1.2857,1.2,0.8556,0.0533,0.213,0.4556,101.4585,268.5508,30.74,Cooling,18.05,26.87,65.03,21.3
Sword & Shield,188,Torkoal V,Ultra Rare,0.027777777777777776,6226.56,0.001736111111111111,False,False,True,0.507,3.81,0,137,4,31,69,6.0,6.4399,2.99,12.0,1.7158,4.712,5.0,6.0,7.99,8.494,4.995,5.95,5.99,0.5714,1.0333,0.7667,0.0292,0.2263,0.5036,89.8132,264.1514,33.53,Cooling,14.38,33.39,73.36,22.63
Sword & Shield,189,Lapras V,Ultra Rare,0.027777777777777776,6226.56,0.001736111111111111,False,False,True,0.747,4.28,0,118,6,30,64,6.995,7.2575,2.25,14.99,2.5271,4.889,5.49,6.995,8.9725,9.99,5.745,6.0,6.995,0.8571,1.0,0.7111,0.0508,0.2542,0.5424,76.7761,248.061,31.5,Cooling,12.48,32.13,65.18,25.42
Sword & Shield,190,Morpeko V,Ultra Rare,0.027777777777777776,6226.56,0.001736111111111111,False,False,True,0.49200000000000005,4.59,1,150,11,40,63,7.0,7.9481,0.99,19.73,5.177,1.742,2.9825,7.0,12.0,14.99,9.99,12.0,11.99,1.5714,1.3333,0.7,0.0733,0.2667,0.42,168.1566,517.2176,27.18,Cooling,16.27,33.32,34.86,26.67
Sword & Shield,191,Wobbuffet V,Ultra Rare,0.027777777777777776,6226.56,0.001736111111111111,False,False,True,0.5870000000000001,5.79,0,114,1,23,59,5.99,6.4028,2.0,12.75,2.2468,4.045,4.99,5.99,7.195,9.981,5.99,5.99,5.98,0.1429,0.7667,0.6556,0.0088,0.2018,0.5175,85.1539,246.1347,34.65,Cooling,8.6,50.17,64.91,20.18
Sword & Shield,192,Indeedee V,Ultra Rare,0.027777777777777776,6226.56,0.001736111111111111,False,False,True,0.41100000000000003,1.78,1,164,3,35,70,3.0,3.3429,1.5,6.48,1.0792,1.993,2.5375,3.0,3.99,4.99,2.87,2.99,2.995,0.4286,1.1667,0.7778,0.0183,0.2134,0.4268,117.8785,271.9735,36.34,Cooling,15.95,45.83,67.72,21.34
Sword & Shield,193,Stonjourner V,Ultra Rare,0.027777777777777776,6226.56,0.001736111111111111,False,False,True,0.391,1.82,0,191,7,43,87,3.0,3.4137,1.0,6.79,1.2423,1.99,2.49,3.0,4.0,5.0,2.99,2.99,2.99,1.0,1.4333,0.9667,0.0366,0.2251,0.4555,105.8666,314.1265,39.32,Cooling,23.64,50.0,63.61,22.51
Sword & Shield,194,Sableye V,Ultra Rare,0.027777777777777776,6226.56,0.001736111111111111,False,False,True,0.598,5.84,1,64,5,28,48,14.99,15.6767,8.0,29.99,4.4374,10.297,12.8675,14.99,18.1425,20.28,14.38,15.245,14.99,0.7143,0.9333,0.5333,0.0781,0.4375,0.75,37.7241,186.0709,39.28,Cooling,8.03,45.93,71.69,43.75
Sword & Shield,195,Zacian V,Ultra Rare,0.027777777777777776,6226.56,0.001736111111111111,False,False,True,0.606,4.2,1,128,4,29,61,7.99,8.8405,2.0,19.53,3.3227,5.863,6.46,7.99,10.0,14.344,6.49,7.0,7.49,0.5714,0.9667,0.6778,0.0312,0.2266,0.4766,96.2043,378.2722,31.37,Cooling,11.2,36.65,62.42,22.66
Sword & Shield,196,Zamazenta V,Ultra Rare,0.027777777777777776,6226.56,0.001736111111111111,False,False,True,0.56,0.0,0,178,7,51,101,6.315,6.77,2.0,14.14,2.1833,4.563,5.0925,6.315,7.99,9.845,6.0,6.0,6.0,1.0,1.7,1.1222,0.0393,0.2865,0.5674,74.6662,215.1866,43.63,Stable,31.15,50.0,67.75,28.65
Sword & Shield,197,Snorlax V,Ultra Rare,0.027777777777777776,6226.56,0.001736111111111111,False,False,True,0.701,12.9,0,66,10,27,48,39.99,40.7194,5.0,78.49,12.3356,29.97,34.1,39.99,44.9975,59.99,29.995,35.0,39.835,1.4286,0.9,0.5333,0.1515,0.4091,0.7273,37.3097,185.1433,31.99,Cooling,7.58,25.3,69.71,40.91
Sword & Shield,198,Cramorant V,Ultra Rare,0.027777777777777776,6226.56,0.001736111111111111,False,False,True,0.44299999999999995,1.71,1,151,3,30,67,3.77,3.8805,1.96,7.5,1.2148,2.5,2.99,3.77,4.99,5.41,2.84,3.54,3.63,0.4286,1.0,0.7444,0.0199,0.1987,0.4437,116.573,337.8165,30.15,Cooling,13.24,28.24,68.69,19.87
Sword & Shield,199,Bede,Ultra Rare,0.027777777777777776,6226.56,0.001736111111111111,False,False,False,0.0,3.4,0,149,6,27,58,5.0,5.7731,2.99,11.03,1.9966,3.782,4.33,5.0,6.97,9.462,4.52,4.79,4.83,0.8571,0.9,0.6444,0.0403,0.1812,0.3893,144.7053,351.4269,32.63,Cooling,9.49,43.58,65.42,18.12
Sword & Shield,200,Marnie,Ultra Rare,0.027777777777777776,6226.56,0.001736111111111111,False,False,False,0.0,37.07,0,183,8,50,98,43.17,47.8357,8.99,99.0,15.3123,32.992,39.97,43.17,52.0,70.0,39.99,39.99,40.5,1.1429,1.6667,1.0889,0.0437,0.2732,0.5355,75.7799,212.4692,42.66,Stable,29.92,48.74,67.99,27.32
Sword & Shield,201,Professor's Research,Ultra Rare,0.027777777777777776,6226.56,0.001736111111111111,False,False,False,0.0,4.45,0,145,4,33,66,5.89,6.2253,2.0,12.99,2.1952,4.0,4.99,5.89,7.0,9.99,6.49,6.0,5.99,0.5714,1.1,0.7333,0.0276,0.2276,0.4552,114.4049,276.8526,39.29,Cooling,14.29,58.35,64.74,22.76
Sword & Shield,202,Team Yell Grunt,Ultra Rare,0.027777777777777776,6226.56,0.001736111111111111,False,False,False,0.0,2.61,0,616,13,123,278,1.87,1.8939,0.71,4.0,0.7455,0.99,1.4175,1.87,2.0,2.99,1.99,1.98,1.99,1.8571,4.1,3.0889,0.0211,0.1997,0.4513,95.2574,333.8485,50.48,Stable,64.54,50.0,60.64,19.97
Sword & Shield,203,Lapras VMAX,Secret Rare,0.014084507042253521,10745.14,0.001006036217303823,False,False,True,0.747,11.77,0,164,11,40,87,18.99,19.5823,3.0,40.0,6.9392,12.075,14.9975,18.99,22.81,29.532,19.99,19.99,19.43,1.5714,1.3333,0.9667,0.0671,0.2439,0.5305,85.6,284.8826,40.35,Stable,22.32,52.88,64.56,24.39
Sword & Shield,204,Morpeko VMAX,Secret Rare,0.014084507042253521,10745.14,0.001006036217303823,False,False,True,0.49200000000000005,8.19,33,62,4,18,38,24.995,25.3415,4.0,52.0,10.3782,14.892,17.29,24.995,29.99,35.153,17.49,25.445,23.995,0.5714,0.6,0.4222,0.0645,0.2903,0.6129,52.1366,332.2534,25.43,Cooling,3.15,22.89,59.05,29.03
Sword & Shield,205,Stonjourner VMAX,Secret Rare,0.014084507042253521,10745.14,0.001006036217303823,False,False,True,0.391,7.02,0,119,2,17,43,7.99,7.9818,1.99,15.95,2.3225,5.5,6.49,7.99,9.01,10.654,7.495,6.5,7.0,0.2857,0.5667,0.4778,0.0168,0.1429,0.3613,149.1191,357.8998,35.28,Cooling,3.72,57.07,70.9,14.29
Sword & Shield,206,Snorlax VMAX,Secret Rare,0.014084507042253521,10745.14,0.001006036217303823,False,False,True,0.701,54.31,4,129,19,57,93,100.0,101.3977,0.99,200.0,37.7915,55.8,80.0,100.0,119.03,150.0,85.0,99.99,100.0,2.7143,1.9,1.0333,0.1473,0.4419,0.7209,40.6796,149.1692,41.36,Stable,31.58,35.0,62.73,44.19
Sword & Shield,207,Bede,Secret Rare,0.014084507042253521,10745.14,0.001006036217303823,False,False,False,0.0,4.16,1,122,1,21,47,5.99,6.5298,3.0,13.0,1.9233,4.56,5.0,5.99,7.545,9.986,5.09,5.82,5.99,0.1429,0.7,0.5222,0.0082,0.1721,0.3852,148.9863,325.0773,29.61,Cooling,5.23,34.97,70.55,17.21
Sword & Shield,208,Marnie,Secret Rare,0.014084507042253521,10745.14,0.001006036217303823,False,False,False,0.0,16.56,0,142,9,40,66,24.81,26.9301,9.99,56.37,10.2137,17.025,19.9925,24.81,29.9975,44.807,20.0,21.99,22.19,1.2857,1.3333,0.7333,0.0634,0.2817,0.4648,95.3451,290.2727,35.25,Cooling,17.21,40.13,62.07,28.17
Sword & Shield,209,Professor's Research,Secret Rare,0.014084507042253521,10745.14,0.001006036217303823,False,False,False,0.0,4.2,1,184,7,41,79,5.77,6.1976,2.6,12.0,2.0347,4.085,4.95,5.77,6.99,9.99,4.87,5.35,5.0,1.0,1.3667,0.8778,0.038,0.2228,0.4293,113.0256,291.8524,38.35,Cooling,20.79,47.4,67.17,22.28
Sword & Shield,210,Team Yell Grunt,Secret Rare,0.014084507042253521,10745.14,0.001006036217303823,False,False,False,0.0,3.48,0,131,6,25,48,5.99,6.5089,3.6,13.0,2.0458,4.38,5.0,5.99,7.71,9.47,5.745,5.44,5.99,0.8571,0.8333,0.5333,0.0458,0.1908,0.3664,143.4217,352.3506,33.35,Cooling,6.82,45.91,68.57,19.08
Sword & Shield,211,Zacian V,Secret Rare,0.014084507042253521,10745.14,0.001006036217303823,False,False,True,0.606,15.7,0,137,3,17,54,22.99,27.3423,3.0,65.0,14.293,13.766,17.41,22.99,34.99,50.0,39.99,20.0,20.0,0.4286,0.5667,0.6,0.0219,0.1241,0.3942,147.8378,417.145,43.86,Stable,6.12,100.0,47.73,12.41
Sword & Shield,212,Zamazenta V,Secret Rare,0.014084507042253521,10745.14,0.001006036217303823,False,False,True,0.56,9.84,0,128,6,32,52,16.0,18.4314,6.74,40.0,7.6095,10.0,13.5325,16.0,20.1575,29.993,17.36,15.495,15.0,0.8571,1.0667,0.5778,0.0469,0.25,0.4062,148.1159,341.646,39.62,Cooling,10.52,65.73,58.71,25.0
Sword & Shield,213,Air Balloon,Secret Rare,0.014084507042253521,10745.14,0.001006036217303823,False,False,False,0.0,38.38,0,117,10,28,55,18.5,20.1215,10.0,38.11,6.3818,14.0,15.0,18.5,24.0,30.0,16.115,15.0,15.99,1.4286,0.9333,0.6111,0.0855,0.2393,0.4701,101.8556,135.5031,36.48,Cooling,9.36,50.78,68.28,23.93
Sword & Shield,214,Metal Saucer,Secret Rare,0.014084507042253521,10745.14,0.001006036217303823,False,False,False,0.0,3.41,0,123,1,18,51,4.99,5.5741,2.5,11.95,2.0739,3.492,4.0,4.99,6.465,9.41,4.49,4.31,4.96,0.1429,0.6,0.5667,0.0081,0.1463,0.4146,127.2578,315.5957,29.33,Cooling,5.64,40.52,62.79,14.63
Sword & Shield,215,Ordinary Rod,Secret Rare,0.014084507042253521,10745.14,0.001006036217303823,False,False,False,0.0,4.32,4,76,5,28,46,7.485,8.0514,4.08,15.99,2.7129,5.11,5.9575,7.485,9.99,11.51,6.0,6.99,6.99,0.7143,0.9333,0.5111,0.0658,0.3684,0.6053,52.6022,210.0564,33.62,Cooling,7.46,35.84,66.31,36.84
Sword & Shield,216,Quick Ball,Secret Rare,0.014084507042253521,10745.14,0.001006036217303823,False,False,False,0.0,11.08,1,103,4,29,54,16.0,17.4765,1.29,35.0,5.3312,12.27,13.83,16.0,19.99,24.99,16.22,13.53,15.0,0.5714,0.9667,0.6,0.0388,0.2816,0.5243,80.8212,171.9313,39.85,Cooling,9.61,58.13,69.5,28.16
Rebel Clash,018,Rillaboom VMAX,Holo Rare VMAX,0.1111111111111111,608.58,0.015873015873015872,False,False,True,0.499,2.04,5,234,8,48,109,3.19,3.6094,1.25,7.77,1.3047,2.24,2.6925,3.19,4.0,5.0,3.39,3.0,2.99,1.1429,1.6,1.2111,0.0342,0.2051,0.4658,107.4022,301.5536,45.3,Stable,31.38,63.38,63.85,20.51
Rebel Clash,036,Cinderace VMAX,Holo Rare VMAX,0.1111111111111111,608.58,0.015873015873015872,False,False,True,0.613,2.07,2,236,9,59,121,4.0,4.4632,1.45,9.0,1.6594,2.71,3.0,4.0,5.5,6.99,4.49,4.99,4.04,1.2857,1.9667,1.3444,0.0381,0.25,0.5127,85.5472,276.15,47.2,Stable,37.63,61.14,62.82,25.0
Rebel Clash,050,Inteleon VMAX,Holo Rare VMAX,0.1111111111111111,608.58,0.015873015873015872,False,False,True,0.557,1.48,3,498,15,112,217,2.99,3.12,0.99,6.47,1.051,1.99,2.25,2.99,3.99,4.656,3.0,2.99,2.99,2.1429,3.7333,2.4111,0.0301,0.2249,0.4357,110.6991,267.6926,50.69,Stable,59.42,50.33,66.31,22.49
Rebel Clash,071,Toxtricity VMAX,Holo Rare VMAX,0.1111111111111111,608.58,0.015873015873015872,False,False,True,0.585,2.84,1,184,13,42,88,5.735,5.8552,2.0,12.0,1.9171,3.99,4.46,5.735,6.99,8.0,5.99,5.99,5.99,1.8571,1.4,0.9778,0.0707,0.2283,0.4783,96.3317,333.8586,40.05,Stable,23.44,50.0,67.26,22.83
Rebel Clash,093,Dragapult VMAX,Holo Rare VMAX,0.1111111111111111,608.58,0.015873015873015872,False,False,True,0.6859999999999999,2.79,2,183,6,40,79,4.99,5.1469,1.25,10.15,1.7952,3.0,3.99,4.99,5.99,7.5,4.68,5.0,5.0,0.8571,1.3333,0.8778,0.0328,0.2186,0.4317,107.4942,340.5813,36.59,Cooling,20.38,43.6,65.12,21.86
Rebel Clash,122,Malamar VMAX,Holo Rare VMAX,0.1111111111111111,608.58,0.015873015873015872,False,False,True,0.52,1.8,1,261,13,58,117,2.99,3.2298,0.99,6.49,1.1691,1.99,2.29,2.99,3.99,5.0,3.99,3.0,3.0,1.8571,1.9333,1.3,0.0498,0.2222,0.4483,117.4491,335.8326,53.17,Stable,36.88,83.0,63.8,22.22
Rebel Clash,137,Copperajah VMAX,Holo Rare VMAX,0.1111111111111111,608.58,0.015873015873015872,False,False,True,0.392,2.01,3,225,12,65,110,3.75,3.993,0.99,7.99,1.3724,2.5,2.99,3.75,4.99,5.99,3.49,3.6,3.49,1.7143,2.1667,1.2222,0.0533,0.2889,0.4889,95.1662,257.4088,45.34,Stable,38.13,50.0,65.63,28.89
Rebel Clash,175,Rillaboom V,Ultra Rare,0.1,1738.8,0.005555555555555556,False,False,True,0.499,2.97,0,116,1,13,44,5.0,5.3677,1.23,10.81,1.6605,3.515,4.4775,5.0,6.0,7.495,4.99,3.99,4.93,0.1429,0.4333,0.4889,0.0086,0.1121,0.3793,160.6348,418.3171,32.36,Cooling,3.15,51.22,69.06,11.21
Rebel Clash,176,Eldegoss V,Ultra Rare,0.1,1738.8,0.005555555555555556,False,False,True,0.449,1.63,0,123,8,27,58,3.99,4.1287,1.0,8.8,1.6306,2.09,2.99,3.99,4.99,6.43,2.995,3.99,3.99,1.1429,0.9,0.6444,0.065,0.2195,0.4715,97.4955,454.7268,26.86,Cooling,9.49,25.06,60.51,21.95
Rebel Clash,177,Ninetales V,Ultra Rare,0.1,1738.8,0.005555555555555556,False,False,True,0.726,16.89,8,125,9,37,76,5.99,6.0805,1.18,12.99,2.267,3.966,4.47,5.99,7.0,8.99,5.99,5.99,5.99,1.2857,1.2333,0.8444,0.072,0.296,0.608,60.8267,248.3427,38.9,Cooling,18.12,50.0,62.72,29.6
Rebel Clash,178,Cinderace V,Ultra Rare,0.1,1738.8,0.005555555555555556,False,False,True,0.613,4.08,0,78,1,15,31,7.995,8.7473,1.99,17.0,3.4304,4.997,6.75,7.995,10.6075,14.221,9.99,8.99,8.99,0.1429,0.5,0.3444,0.0128,0.1923,0.3974,119.1206,391.0481,34.9,Cooling,1.87,61.12,60.78,19.23
Rebel Clash,179,Milotic V,Ultra Rare,0.1,1738.8,0.005555555555555556,False,False,True,0.6990000000000001,10.2,1,92,3,23,43,14.99,15.5253,6.18,29.99,4.8737,10.0,12.0,14.99,17.99,20.459,16.99,14.99,16.0,0.4286,0.7667,0.4778,0.0326,0.25,0.4674,101.434,286.0054,37.1,Cooling,5.07,56.19,68.61,25.0
Rebel Clash,180,Inteleon V,Ultra Rare,0.1,1738.8,0.005555555555555556,False,False,True,0.557,3.71,0,132,3,30,61,5.755,5.976,2.99,12.0,1.7808,4.256,4.865,5.755,6.99,7.99,4.75,5.53,5.5,0.4286,1.0,0.6778,0.0227,0.2273,0.4621,106.6297,280.611,33.02,Cooling,11.75,36.36,70.2,22.73
Rebel Clash,181,Boltund V,Ultra Rare,0.1,1738.8,0.005555555555555556,False,False,True,0.46799999999999997,2.13,2,106,2,10,39,4.225,4.6982,1.32,9.46,1.8101,2.795,3.49,4.225,5.93,7.2,6.11,4.315,4.11,0.2857,0.3333,0.4333,0.0189,0.0943,0.3679,151.5752,413.7887,44.45,Stable,2.24,98.66,61.47,9.43
Rebel Clash,182,Toxtricity V,Ultra Rare,0.1,1738.8,0.005555555555555556,False,False,True,0.585,3.16,1,94,4,20,41,5.99,6.5947,1.98,12.99,2.2484,4.346,4.99,5.99,7.6925,10.098,7.415,6.095,5.99,0.5714,0.6667,0.4556,0.0426,0.2128,0.4362,107.7176,334.1439,40.72,Stable,3.81,73.79,65.91,21.28
Rebel Clash,183,Dragapult V,Ultra Rare,0.1,1738.8,0.005555555555555556,False,False,True,0.6859999999999999,7.16,0,89,4,24,49,12.99,13.1221,5.0,24.82,4.264,8.0,9.99,12.99,15.49,19.198,10.75,12.51,13.0,0.5714,0.8,0.5444,0.0449,0.2697,0.5506,80.935,148.5078,30.71,Cooling,6.69,32.69,67.51,26.97
Rebel Clash,184,Sandaconda V,Ultra Rare,0.1,1738.8,0.005555555555555556,False,False,True,0.34700000000000003,1.79,0,137,5,28,61,3.5,3.6509,1.5,7.5,1.2862,2.0,2.88,3.5,4.0,5.16,3.7,3.49,3.0,0.7143,0.9333,0.6778,0.0365,0.2044,0.4453,112.8082,325.019,42.29,Stable,10.84,73.33,64.77,20.44
Rebel Clash,185,Falinks V,Ultra Rare,0.1,1738.8,0.005555555555555556,False,False,True,0.57,2.43,0,119,1,30,64,4.94,4.8851,2.87,8.11,1.3161,3.49,3.82,4.94,5.88,6.99,4.0,4.4,4.95,0.1429,1.0,0.7111,0.0084,0.2521,0.5378,76.9456,278.6985,32.64,Cooling,12.48,30.81,73.06,25.21
